Id,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status
nba.p.3339,Metta,World Peace,SF,LAL,GS,LAL@GS,10:30PM EDT,10,4.6, 
nba.p.3824,Luol,Deng,SF,LAL,GS,LAL@GS,10:30PM EDT,10,17.9,INJ
nba.p.4285,Corey,Brewer,SF,LAL,GS,LAL@GS,10:30PM EDT,10,10.1, 
nba.p.4294,Nick,Young,SG,LAL,GS,LAL@GS,10:30PM EDT,10,20,O
nba.p.4794,Timofey,Mozgov,C,LAL,GS,LAL@GS,10:30PM EDT,10,15,INJ
nba.p.5011,Thomas,Robinson,PF,LAL,GS,LAL@GS,10:30PM EDT,10,12.3, 
nba.p.5318,Julius,Randle,C,LAL,GS,LAL@GS,10:30PM EDT,28,29, 
nba.p.5329,Tyler,Ennis,PG,LAL,GS,LAL@GS,10:30PM EDT,10,8, 
nba.p.5357,Jordan,Clarkson,PG,LAL,GS,LAL@GS,10:30PM EDT,20,23.2, 
nba.p.5383,Tarik,Black,C,LAL,GS,LAL@GS,10:30PM EDT,10,14.1, 
nba.p.5433,D'Angelo,Russell,SG,LAL,GS,LAL@GS,10:30PM EDT,27,28.7,O
nba.p.5487,Larry,Nance Jr.,PF,LAL,GS,LAL@GS,10:30PM EDT,15,19.3, 
nba.p.5601,Brandon,Ingram,SF,LAL,GS,LAL@GS,10:30PM EDT,16,18.3,GTD
nba.p.5663,Ivica,Zubac,C,LAL,GS,LAL@GS,10:30PM EDT,15,15.4,INJ
nba.p.5762,David,Nwaba,SG,LAL,GS,LAL@GS,10:30PM EDT,10,12.2, 
nba.p.3643,Matt,Barnes,SF,GS,LAL,LAL@GS,10:30PM EDT,12,18.4,INJ
nba.p.3721,David,West,PF,GS,LAL,LAL@GS,10:30PM EDT,10,13.2, 
nba.p.3745,Zaza,Pachulia,C,GS,LAL,LAL@GS,10:30PM EDT,10,17.2, 
nba.p.3821,Shaun,Livingston,PG,GS,LAL,LAL@GS,10:30PM EDT,10,11, 
nba.p.3826,Andre,Iguodala,SG,GS,LAL,LAL@GS,10:30PM EDT,14,20.2,O
nba.p.4244,Kevin,Durant,SF,GS,LAL,LAL@GS,10:30PM EDT,50,46.3, 
nba.p.4480,JaVale,McGee,C,GS,LAL,LAL@GS,10:30PM EDT,10,11.9, 
nba.p.4612,Stephen,Curry,PG,GS,LAL,LAL@GS,10:30PM EDT,49,43.8, 
nba.p.4892,Klay,Thompson,SG,GS,LAL,LAL@GS,10:30PM EDT,34,32.7, 
nba.p.5069,Draymond,Green,PF,GS,LAL,LAL@GS,10:30PM EDT,34,35.1,O
nba.p.5237,Ian,Clark,PG,GS,LAL,LAL@GS,10:30PM EDT,10,11.3, 
nba.p.5385,James Michael,McAdoo,PF,GS,LAL,LAL@GS,10:30PM EDT,10,6.6, 
nba.p.5490,Kevon,Looney,PF,GS,LAL,LAL@GS,10:30PM EDT,10,7,O
nba.p.5661,Damian,Jones,C,GS,LAL,LAL@GS,10:30PM EDT,10,3.9, 
nba.p.5669,Patrick,McCaw,SF,GS,LAL,LAL@GS,10:30PM EDT,10,8.3, 
nba.p.4136,Rudy,Gay,SF,SAC,LAC,SAC@LAC,10:30PM EDT,10,33.4,INJ
nba.p.4305,Arron,Afflalo,SF,SAC,LAC,SAC@LAC,10:30PM EDT,10,13.4, 
nba.p.4371,Anthony,Tolliver,PF,SAC,LAC,SAC@LAC,10:30PM EDT,10,14.6,O
nba.p.4485,Kosta,Koufos,C,SAC,LAC,SAC@LAC,10:30PM EDT,10,15.9,INJ
nba.p.4564,Tyreke,Evans,SF,SAC,LAC,SAC@LAC,10:30PM EDT,14,20.2, 
nba.p.4623,Ty,Lawson,PG,SAC,LAC,SAC@LAC,10:30PM EDT,10,21,O
